epoch,train_loss,val_loss,val_acc,precision,recall,f1_score
1,0.2758057529798289,0.1415010264949897,0.9530749052754299,0.9715832205683356,0.9373368146214099,0.9541528239202658
2,0.13256109438012514,0.12009725645133848,0.9590012629942679,0.978867778208608,0.9416262588586348,0.9598859315589353
3,0.11124284220468426,0.09569047916277752,0.9752258816671524,0.9682743443975793,0.9847071988064156,0.9764216366158114
4,0.09249230149625803,0.074572090745366,0.976877489556009,0.9760312151616499,0.9796717642670645,0.9778481012658228
5,0.08644520443680345,0.08959254130477155,0.9745458078305644,0.9592939481268011,0.9932860872808653,0.9759941359721459
6,0.0764090880512549,0.07152391820248438,0.9782376372291849,0.975564605701592,0.9828422230511004,0.9791898922333705
7,0.06980548762153654,0.1143562228285065,0.9717283590789857,0.9577541072395739,0.9893696381947035,0.9733052013576736
8,0.06352716662921938,0.07682845748929847,0.97221412610512,0.9836128048780488,0.9627004848936964,0.9730442978322338
9,0.05607383869002938,0.07245313285245665,0.9772661031769163,0.9702861335289802,0.9865721745617307,0.9783613833918994
10,0.047757449613361584,0.07674483190720686,0.9706596716214904,0.9788039364118092,0.9645654606490116,0.9716325380424573
11,0.044899217105611886,0.07709180115001256,0.9749344214514719,0.9687729610580456,0.9835882133532264,0.9761243753470294
12,0.04010378634495509,0.08053745904496382,0.9721169726998932,0.9821394641839255,0.964005967922417,0.9729882352941176
13,0.03688668924546265,0.09200670952743747,0.9672593024385505,0.9825235260226618,0.9541215964192465,0.9681142965275806
14,0.03455771260828144,0.07940972308658753,0.9752258816671524,0.9713863762230016,0.9813502424468482,0.9763428889507375
15,0.031350569902195674,0.07684707157147339,0.975517341882833,0.9773916292974589,0.9755688176053712,0.9764793727832742
16,0.028673891987126134,0.08378560473693826,0.973574273778296,0.9725213516524323,0.9768743006340918,0.9746929661332341
